Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
QB,Lamar Jackson,BAL,26,5,16,16,307,457,3678,24,7,148,821,5,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",JackLa00
QB,Dak Prescott,DAL,30,7,17,17,410,590,4516,36,9,55,242,2,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",PresDa01
QB,Josh Allen,BUF,27,5,17,17,385,579,4306,29,18,111,524,15,0,0,0,0,0.0,0,PFF: 2nd Tm,AlleJo02
RB,Christian McCaffrey,SFO,27,6,16,16,0,0,0,0,0,272,1459,14,67,564,7,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",McCaCh01
RB,Kyren Williams,LAR,23,1,12,11,0,0,0,0,0,228,1144,12,32,206,3,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 2nd Tm",WillKy02
RB,Raheem Mostert,MIA,31,8,15,15,0,0,0,0,0,209,1012,18,25,175,3,0,0.0,0,"FW: 1st Tm All-Conf., SN: 1st Tm",MostRa00
RB,Derrick Henry,TEN,29,7,17,17,2,3,14,2,0,280,1167,12,28,214,0,0,0.0,0,FW: 1st Tm All-Conf.,HenrDe00
FB,Kyle Juszczyk,SFO,32,10,17,16,0,0,0,0,0,5,6,0,14,119,2,0,0.0,0,"AP: 1st Tm, NFLPA: 1st Tm",JuszKy00
FB,Michael Burton,DEN,31,8,17,3,0,0,0,0,0,7,9,0,3,8,0,3,0.0,0,PFF: 1st Tm,BurtMi00
FB,Patrick Ricard,BAL,29,6,17,9,0,0,0,0,0,0,0,0,5,52,1,0,0.0,0,AP: 2nd Tm,RicaPa00
FB,Hunter Luepke,DAL,23,Rook,17,0,0,0,0,0,0,6,19,1,3,18,0,3,0.0,0,PFF: 2nd Tm,LuepHu00
WR,CeeDee Lamb,DAL,24,3,17,17,0,0,0,0,0,14,113,2,135,1749,12,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",LambCe00
WR,Tyreek Hill,MIA,29,7,16,16,0,0,0,0,0,6,15,0,119,1799,13,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",HillTy00
WR,Amon-Ra St. Brown,DET,24,2,16,16,0,0,0,0,0,4,24,0,119,1515,10,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, PFF: 2nd Tm",StxxAm00
WR,Brandon Aiyuk,SFO,25,3,16,16,0,0,0,0,0,0,0,0,75,1342,7,0,0.0,0,"PFF: 1st Tm, AP: 2nd Tm",AiyuBr00
WR,Nico Collins,HOU,24,2,15,10,0,0,0,0,0,1,7,0,80,1297,8,0,0.0,0,FW: 1st Tm All-Conf.,CollNi00
WR,A.J. Brown,PHI,26,4,17,17,0,0,0,0,0,0,0,0,106,1456,7,0,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm",BrowAJ00
WR,Puka Nacua,LAR,22,Rook,17,17,0,0,0,0,0,12,89,0,105,1486,6,0,0.0,0,AP: 2nd Tm,NacuPu00
WR,D.J. Moore,CHI,26,5,17,17,0,0,0,0,0,4,21,1,96,1364,8,0,0.0,0,PFF: 2nd Tm,MoorD.00
WR,Mike Evans,TAM,30,9,17,17,0,0,0,0,0,0,0,0,79,1255,13,0,0.0,0,AP: 2nd Tm,EvanMi00
Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams,
TE,George Kittle,SFO,30,6,16,16,0,0,0,0,0,1,2,0,65,1020,6,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",KittGe00
TE,Travis Kelce,KAN,34,10,15,15,0,0,0,0,0,0,0,0,93,984,5,0,0.0,0,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",KelcTr00
TE,T.J. Hockenson,MIN,26,4,15,11,0,0,0,0,0,0,0,0,95,960,5,0,0.0,0,PFF: 2nd Tm,HockTJ00
TE,Sam LaPorta,DET,22,Rook,17,14,0,0,0,0,0,1,4,0,86,889,10,0,0.0,0,AP: 2nd Tm,LaPoSa01
LT,Tyron Smith,DAL,33,12,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,AP: 2nd Tm,SmitTy00
LT,Jordan Mailata,PHI,26,3,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,MailJo00
T,Trent Williams,SFO,35,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WillTr21
T,Penei Sewell,DET,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",SewePe00
T,Dion Dawkins,BUF,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,DawkDi00
T,Laremy Tunsil,HOU,29,7,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,TunsLa00
LG,Tyler Smith,DAL,22,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm",SmitTy02
G,Joe Thuney,KAN,31,7,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",ThunJo00
G,Zack Martin,DAL,33,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",MartZa00
G,Chris Lindstrom,ATL,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm",LindCh00
G,Joel Bitonio,CLE,32,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",BitoJo00
C,Jason Kelce,PHI,36,12,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm",KelcJa00
C,Frank Ragnow,DET,27,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"PFF: 1st Tm, AP: 2nd Tm",RagnFr00
C,Creed Humphrey,KAN,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,HumpCr00
RG,Kevin Dotson,LAR,27,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 2nd Tm,DotsKe00
RT,Lane Johnson,PHI,33,10,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm",JohnLa01
DL,Derrick Brown,CAR,25,3,17,17,0,0,0,0,0,0,0,0,0,0,0,57,2.0,1,PFF: 2nd Tm,BrowDe05
DL,Nnamdi Madubuike,BAL,26,3,17,17,0,0,0,0,0,0,0,0,0,0,0,38,13.0,0,AP: 2nd Tm,MaduJu00
DE,Myles Garrett,CLE,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,33,14.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",GarrMy00
DE,Maxx Crosby,LVR,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,55,14.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm",CrosMa00
DE,Trey Hendrickson,CIN,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,28,17.5,0,FW: 1st Tm,HendTr00
DE,Nick Bosa,SFO,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,34,10.5,0,"FW: 1st Tm All-Conf., PFF: 2nd Tm",BosaNi00
DE,Aidan Hutchinson,DET,23,1,17,17,0,0,0,0,0,0,0,0,0,0,0,36,11.5,1,FW: 1st Tm All-Conf.,HutcAi00
DT,Aaron Donald,LAR,32,9,16,16,0,0,0,0,0,0,0,0,0,0,0,28,8.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",DonaAa00
DT,Chris Jones,KAN,29,7,16,16,0,0,0,0,0,0,0,0,0,0,0,20,10.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",JoneCh09
DT,Dexter Lawrence,NYG,26,4,16,16,0,0,0,0,0,0,0,0,0,0,0,32,4.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, PFF: 1st Tm",LawrDe03
DT,Quinnen Williams,NYJ,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,39,5.5,1,"FW: 1st Tm All-Conf., PFF: 2nd Tm",WillQu00
OLB,Micah Parsons,DAL,24,2,17,17,0,0,0,0,0,0,0,0,0,0,0,36,14.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",ParsMi00
OLB,T.J. Watt,PIT,29,6,17,17,0,0,0,0,0,0,0,0,0,0,0,48,19.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",WattT.00
OLB,Danielle Hunter,MIN,29,8,17,17,0,0,0,0,0,0,0,0,0,0,0,54,16.5,0,FW: 1st Tm All-Conf.,HuntDa01
OLB,Josh Hines-Allen,JAX,26,4,17,17,0,0,0,0,0,0,0,0,0,0,0,43,17.5,1,FW: 1st Tm All-Conf.,AlleJo03
MLB,Fred Warner,SFO,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,82,2.5,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WarnFr00
MLB,Roquan Smith,BAL,26,5,16,16,0,0,0,0,0,0,0,0,0,0,0,84,1.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm",SmitRo07
LB,Demario Davis,NOR,34,11,17,17,0,0,0,0,0,0,0,0,0,0,0,74,6.5,0,"AP: 2nd Tm, PFF: 1st Tm",DaviDe00
LB,Quincy Williams,NYJ,27,4,17,16,0,0,0,0,0,0,0,0,0,0,0,95,2.0,1,AP: 1st Tm,WillQu01
LB,Bobby Wagner,SEA,33,11,17,16,0,0,0,0,0,0,0,0,0,0,0,96,3.5,0,AP: 2nd Tm,WagnBo00
LB,Patrick Queen,BAL,24,3,17,17,0,0,0,0,0,0,0,0,0,0,0,84,3.5,1,AP: 2nd Tm,QueePa00
LB,C.J. Mosley,NYJ,31,9,17,17,0,0,0,0,0,0,0,0,0,0,0,81,0.5,1,PFF: 2nd Tm,MoslC.00
CB,DaRon Bland,DAL,24,1,17,15,0,0,0,0,0,0,0,0,0,0,0,53,0.0,9,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",BlanDa00
CB,Sauce Gardner,NYJ,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,41,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm",GardSa00
CB,Jaylon Johnson,CHI,24,3,14,14,0,0,0,0,0,0,0,0,0,0,0,31,0.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 1st Tm",JohnJa13
CB,Patrick Surtain II,DEN,23,2,17,17,0,0,0,0,0,0,0,0,0,0,0,59,0.0,1,"FW: 1st Tm All-Conf., NFLPA: 1st Tm",SurtPa01
CB,Trent McDuffie,KAN,23,1,16,16,0,0,0,0,0,0,0,0,0,0,0,60,3.0,0,"AP: 1st Tm, PFF: 2nd Tm",McDuTr00
CB,Devon Witherspoon,SEA,23,Rook,14,13,0,0,0,0,0,0,0,0,0,0,0,56,3.0,1,PFF: 2nd Tm,WithDe00
CB,Kendall Fuller,WAS,28,7,15,15,0,0,0,0,0,0,0,0,0,0,0,55,0.0,2,PFF: 2nd Tm,FullKe00
CB,Charvarius Ward,SFO,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,56,0.0,5,AP: 2nd Tm,WardCh01
CB,Taron Johnson,BUF,27,5,17,17,0,0,0,0,0,0,0,0,0,0,0,72,1.0,0,AP: 2nd Tm,JohnTa01
LS,Ross Matiscik,JAX,27,3,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0,"AP: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm",MatiRo00
LS,Andrew DePaola,MIN,36,9,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,AP: 2nd Tm,DePaAn00
LS,Mitchell Fraboni,DEN,27,1,17,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,PFF: 2nd Tm,FrabMi00
S,Jessie Bates III,ATL,26,5,17,17,0,0,0,0,0,0,0,0,0,0,0,89,0.0,6,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm",BateJe00
S,Kyle Hamilton,BAL,22,1,15,15,0,0,0,0,0,0,0,0,0,0,0,63,3.0,4,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm",HamiKy00
S,Antoine Winfield Jr.,TAM,25,3,17,17,0,0,0,0,0,0,0,0,0,0,0,76,6.0,3,"FW: 1st Tm All-Conf., AP: 1st Tm, PFF: 1st Tm, SN: 1st Tm",WinfAn00
S,Jevon Holland,MIA,23,2,12,12,0,0,0,0,0,0,0,0,0,0,0,52,0.0,1,"FW: 1st Tm All-Conf., PFF: 2nd Tm",HollJe02
S,Justin Simmons,DEN,30,7,15,15,0,0,0,0,0,0,0,0,0,0,0,53,1.0,3,AP: 2nd Tm,SimmJu00
K,Brandon Aubrey,DAL,28,Rook,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",AubrBr00
K,Chase McLaughlin,TAM,27,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,McLaCh00
K,Justin Tucker,BAL,34,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,FW: 1st Tm All-Conf.,TuckJu00
K,Jake Elliott,PHI,28,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"AP: 2nd Tm, PFF: 2nd Tm",ElliJa03
P,AJ Cole III,LVR,28,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm",ColeAJ01
P,Bradley Pinion,ATL,29,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm,PiniBr00
P,Bryan Anger,DAL,35,11,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm",AngeBr00
PR,Derius Davis,LAC,23,Rook,17,2,0,0,0,0,0,14,101,0,15,66,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm, SN: 1st Tm",DaviDe02
PR,Rashid Shaheed,NOR,25,1,15,8,0,0,0,0,0,7,37,0,46,719,5,0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",ShahRa00
KR,Keisean Nixon,GNB,26,4,17,13,0,0,0,0,0,1,11,0,0,0,0,59,0.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm",NixoKe00
KR,Marvin Mims,DEN,21,Rook,16,7,0,0,0,0,0,9,30,0,22,377,1,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",MimsMa00
RET,KaVontae Turpin,DAL,27,1,16,0,0,0,0,0,0,11,110,1,12,127,3,0,0.0,0,PFF: 1st Tm,TurpKa00
RET,Ihmir Smith-Marsette,CAR,24,2,17,0,0,0,0,0,0,8,74,1,8,51,0,1,0.0,0,PFF: 2nd Tm,SmitIh00
ST,Miles Killebrew,PIT,30,7,17,1,0,0,0,0,0,0,0,0,0,0,0,21,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",KillMi00
ST,Jalen Reeves-Maybin,DET,28,6,17,0,1,1,31,0,0,2,3,0,0,0,0,13,1.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm",ReevJa00
ST,Matthew Adams,CLE,28,5,17,1,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0,PFF: 1st Tm,AdamMa00
ST,Brenden Schooler,NWE,26,1,17,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0,NFLPA: 1st Tm,SchoBr00
ST,J.T. Gray,NOR,27,5,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0,PFF: 2nd Tm,GrayJ.00
