No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,Team
5,Bryan Anger,35,P,17,0,202,6-3,California,10/6/1988,11,2,Jacksonville Jaguars / 3rd / 70th pick / 2012,AngeBr00,DAL
92,Dorance Armstrong Jr.,26,DE,17,1,255,6-4,Kansas,6/10/1997,5,2,Dallas Cowboys / 4th / 116th pick / 2018,ArmsDo00,DAL
17,Brandon Aubrey,28,K,17,0,218,6-3,Notre Dame,3/14/1995,1,5,,AubrBr00,DAL
66,T.J. Bass,24,G,17,2,325,6-4,"Butte JC (CA),Oregon",3/31/1999,Rook,2,,BassTJ00,DAL
14,Markquese Bell,24,S,17,8,205,6-3,Florida A&M,1/6/1999,1,2,,BellMa01,DAL
63,Tyler Biadasz,26,C,16,16,318,6-4,Wisconsin,11/20/1997,3,8,Dallas Cowboys / 4th / 146th pick / 2020,BiadTy00,DAL
26,DaRon Bland,24,CB,17,15,197,6-0,"Sacramento St.,Fresno St.",7/12/1999,1,13,Dallas Cowboys / 5th / 167th pick / 2022,BlanDa00,DAL
83,Jalen Brooks,23,WR,7,0,205,6-2,South Carolina,5/7/2000,Rook,1,Dallas Cowboys / 7th / 244th pick / 2023,BrooJa03,DAL
33,Damone Clark,23,LB,17,17,240,6-3,LSU,6/28/2000,1,8,Dallas Cowboys / 5th / 176th pick / 2022,ClarDa02,DAL
3,Brandin Cooks,30,WR,16,15,189,5-10,Oregon St.,9/25/1993,9,8,New Orleans Saints / 1st / 20th pick / 2014,CookBr00,DAL
98,Carl Davis,31,NT,3,0,335,6-5,Iowa,3/2/1992,8,0,Baltimore Ravens / 3rd / 90th pick / 2015,DaviCa01,DAL
34,Malik Davis,25,RB,3,0,202,5-11,Florida,11/26/1998,1,0,,DaviMa02,DAL
7,Trevon Diggs,25,CB,2,2,195,6-2,Alabama,9/20/1998,3,1,Dallas Cowboys / 2nd / 51st pick / 2020,DiggTr00,DAL
23,Rico Dowdle,25,RB,16,0,215,6-0,South Carolina,6/14/1998,3,4,,DowdRi01,DAL
71,Chuma Edoga,26,G,17,6,308,6-3,USC,5/25/1997,4,4,New York Jets / 3rd / 92nd pick / 2019,EdogCh00,DAL
32,Rashaan Evans,28,LB,9,1,232,6-2,Alabama,11/8/1995,5,1,Tennessee Titans / 1st / 22nd pick / 2018,EvanRa01,DAL
48,Princeton Fant,24,TE,2,0,235,6-2,Tennessee,3/11/1999,Rook,0,,FantPr00,DAL
87,Jake Ferguson,24,TE,17,16,244,6-5,Wisconsin,1/18/1999,1,9,Dallas Cowboys / 4th / 129th pick / 2022,FergJa00,DAL
56,Dante Fowler,29,DE,17,0,261,6-3,Florida,8/3/1994,7,2,Jacksonville Jaguars / 1st / 3rd pick / 2015,FowlDa00,DAL
96,Neville Gallimore,26,DT,17,0,315,6-2,Oklahoma,1/17/1997,3,1,Dallas Cowboys / 3rd / 82nd pick / 2020,GallNe00,DAL
No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),,DAL
13,Michael Gallup,27,WR,17,13,198,6-1,Colorado St.,3/4/1996,5,5,Dallas Cowboys / 3rd / 81st pick / 2018,GallMi00,DAL
21,Stephon Gilmore,33,CB,17,17,190,6-0,South Carolina,9/19/1990,11,4,Buffalo Bills / 1st / 10th pick / 2012,GilmSt00,DAL
99,Chauncey Golston,25,DE,17,3,268,6-5,Iowa,2/10/1998,2,3,Dallas Cowboys / 3rd / 84th pick / 2021,GolsCh00,DAL
29,C.J. Goodwin,33,CB,5,0,190,6-3,California (PA),2/4/1990,7,0,,GoodC.00,DAL
95,Johnathan Hankins,31,DT,14,14,325,6-3,Ohio St.,3/30/1992,10,7,New York Giants / 2nd / 49th pick / 2013,HankJo00,DAL
,Sean Harlow,28,C,1,0,284,6-4,Oregon St.,3/28/1995,4,0,Atlanta Falcons / 4th / 136th pick / 2017,HarlSe00,DAL
50,Devin Harper,25,LB,3,0,238,6-0,Oklahoma St.,5/13/1998,1,0,Dallas Cowboys / 6th / 193rd pick / 2022,HarpDe00,DAL
89,Peyton Hendershot,24,TE,8,1,254,6-4,Indiana,4/23/1999,1,0,,HendPe01,DAL
67,Brock Hoffman,24,C,17,2,302,6-4,"Coastal Carolina,Virginia Tech",7/2/1999,1,2,,HoffBr00,DAL
28,Malik Hooker,27,S,16,15,212,6-2,Ohio St.,4/2/1996,6,4,Indianapolis Colts / 1st / 15th pick / 2017,HookMa00,DAL
19,Noah Igbinoghene,24,CB,5,0,197,5-11,Auburn,11/27/1999,3,0,Miami Dolphins / 1st / 30th pick / 2020,IgbiNo00,DAL
46,Malik Jefferson,27,LB,3,0,241,6-2,Texas,11/15/1996,5,0,Cincinnati Bengals / 3rd / 78th pick / 2018,JeffMa00,DAL
57,Buddy Johnson,24,LB,2,0,240,6-2,Texas A&M,2/27/1999,2,0,Pittsburgh Steelers / 4th / 140th pick / 2021,JohnBu01,DAL
1,Jayron Kearse,29,S,16,13,215,6-4,Clemson,2/11/1994,7,3,Minnesota Vikings / 7th / 244th pick / 2016,KearJa00,DAL
88,CeeDee Lamb,24,WR,17,17,200,6-2,Oklahoma,4/8/1999,3,20,Dallas Cowboys / 1st / 17th pick / 2020,LambCe00,DAL
90,DeMarcus Lawrence,31,DE,17,17,265,6-3,"Butler (KS),Boise St.",4/28/1992,9,11,Dallas Cowboys / 2nd / 34th pick / 2014,LawrDe00,DAL
2,Jourdan Lewis,28,CB,16,8,195,5-10,Michigan,8/31/1995,6,3,Dallas Cowboys / 3rd / 92nd pick / 2017,LewiJo01,DAL
40,Hunter Luepke,23,RB,17,0,238,6-1,North Dakota St.,2/28/2000,Rook,0,,LuepHu00,DAL
70,Zack Martin,33,G,15,15,315,6-4,Notre Dame,11/20/1990,9,14,Dallas Cowboys / 1st / 16th pick / 2014,MartZa00,DAL
84,Sean McKeon,26,TE,9,0,255,6-5,Michigan,12/28/1997,3,0,,McKeSe01,DAL
24,Israel Mukuamu,24,S,14,0,205,6-4,South Carolina,11/28/1999,2,1,Dallas Cowboys / 6th / 227th pick / 2021,MukuIs00,DAL
97,Osa Odighizuwa,25,DT,17,17,280,6-2,UCLA,8/13/1998,2,8,Dallas Cowboys / 3rd / 75th pick / 2021,OdigOs00,DAL
11,Micah Parsons,24,LB,17,17,245,6-3,Penn St.,5/26/1999,2,15,Dallas Cowboys / 1st / 12th pick / 2021,ParsMi00,DAL
20,Tony Pollard,26,RB,17,17,209,6-0,Memphis,4/30/1997,4,11,Dallas Cowboys / 4th / 128th pick / 2019,PollTo00,DAL
4,Dak Prescott,30,QB,17,17,238,6-2,Mississippi St.,7/29/1993,7,19,Dallas Cowboys / 4th / 135th pick / 2016,PresDa01,DAL
36,Sheldrick Redwine,27,DB,1,0,196,6-0,Miami (FL),11/6/1996,4,0,Cleveland Browns / 4th / 119th pick / 2019,RedwSh00,DAL
76,Asim Richards,23,OL,8,0,307,6-4,North Carolina,10/2/2000,Rook,1,Dallas Cowboys / 5th / 169th pick / 2023,RichAs00,DAL
10,Cooper Rush,30,QB,7,0,225,6-3,Central Michigan,11/21/1993,6,0,,RushCo00,DAL
47,Eric Saubert,29,TE,1,0,248,6-5,Drake,5/1/1994,6,0,Atlanta Falcons / 5th / 174th pick / 2017,SaubEr00,DAL
86,Luke Schoonmaker,25,TE,17,0,250,6-5,Michigan,9/28/1998,Rook,1,Dallas Cowboys / 2nd / 58th pick / 2023,SchoLu00,DAL
44,Trent Sieg,28,LS,17,0,240,6-3,Colorado St.,5/19/1995,5,1,,SiegTr00,DAL
58,Mazi Smith,22,DT,17,3,337,6-3,Michigan,6/16/2001,Rook,2,Dallas Cowboys / 1st / 26th pick / 2023,SmitMa06,DAL
73,Tyler Smith,22,OL,14,14,332,6-6,Tulsa,4/3/2001,1,11,Dallas Cowboys / 1st / 24th pick / 2022,SmitTy02,DAL
77,Tyron Smith,33,T,13,13,320,6-5,USC,12/12/1990,12,12,Dallas Cowboys / 1st / 9th pick / 2011,SmitTy00,DAL
78,Terence Steele,26,T,17,17,310,6-6,Texas Tech,6/4/1997,3,10,,SteeTe01,DAL
30,Juanyeh Thomas,23,S,16,1,217,6-3,Georgia Tech,6/24/2000,1,1,,ThomJu03,DAL
18,Jalen Tolbert,24,WR,17,6,195,6-1,South Alabama,2/27/1999,1,3,Dallas Cowboys / 3rd / 88th pick / 2022,TolbJa00,DAL
9,KaVontae Turpin,27,WR,16,0,153,5-9,TCU,8/2/1996,1,2,,TurpKa00,DAL
55,Leighton Vander Esch,26,LB,5,5,256,6-4,Boise St.,2/9/1997,5,3,Dallas Cowboys / 1st / 19th pick / 2018,VandLe00,DAL
42,Deuce Vaughn,22,RB,7,0,176,5-6,Kansas St.,11/2/2001,Rook,1,Dallas Cowboys / 6th / 212th pick / 2023,VaugDe00,DAL
79,Matt Waletzko,24,T,1,0,305,6-6,North Dakota,12/15/1999,1,0,Dallas Cowboys / 5th / 155th pick / 2022,WaleMa00,DAL
91,Tyrus Wheat,24,DE,12,0,260,6-2,"Copiah-Lincoln CC,Mississippi St.",12/8/1999,Rook,1,,WheaTy02,DAL
54,Sam Williams,24,DE,17,0,261,6-4,"Northeast Mississippi CC,Mississippi",3/31/1999,1,2,Dallas Cowboys / 2nd / 56th pick / 2022,WillSa00,DAL
6,Donovan Wilson,28,S,15,13,204,6-0,Texas A&M,2/21/1995,4,4,Dallas Cowboys / 6th / 213th pick / 2019,WilsDo01,DAL
25,Nahshon Wright,25,CB,12,0,200,6-4,"Laney,Oregon St.",9/23/1998,2,0,Dallas Cowboys / 3rd / 99th pick / 2021,WrigNa00,DAL
,Team Total,26.4,,17,,244.4,6-2.5,,,3.5,,,,DAL
