Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,Player-additional
1,1,CAR,Bryce Young,QB,22,2024,0,0,1,6,6,24,428,715,3960,16,16,57,344,1,0,0,0,,,,Alabama,College Stats,YounBr01
1,2,HOU,C.J. Stroud,QB,21,2024,0,1,2,14,14,27,569,895,6983,37,14,77,359,3,1,0,0,,,,Ohio St.,College Stats,StroCJ00
1,3,HOU,Will Anderson,LB,22,2024,0,1,2,10,10,25,0,0,0,0,0,0,0,0,0,0,0,51,,16.5,Alabama,College Stats,AndeWi01
1,4,IND,Anthony Richardson,QB,21,2024,0,0,1,3,3,12,140,275,1979,8,8,86,471,7,0,0,0,,,,Florida,College Stats,RichAn03
1,5,SEA,Devon Witherspoon,DB,22,2024,0,1,2,6,6,25,0,0,0,0,0,0,0,0,0,0,0,98,1,3.0,Illinois,College Stats,WithDe00
1,6,ARI,Paris Johnson,OL,22,2024,0,0,2,8,8,28,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JohnPa03
1,7,LVR,Tyree Wilson,OLB,23,2024,0,0,0,2,2,27,0,0,0,0,0,0,0,0,0,0,0,26,,6.5,Texas Tech,College Stats,WilsTy01
1,8,ATL,Bijan Robinson,RB,21,2024,0,0,2,9,9,28,0,0,0,0,0,381,1759,10,103,846,5,,,,Texas,College Stats,RobiBi01
1,9,PHI,Jalen Carter,DL,22,2024,0,0,1,2,2,27,0,0,0,0,0,0,0,0,0,0,0,35,,9.5,Georgia,College Stats,CartJa05
1,10,CHI,Darnell Wright,OL,22,2024,0,0,2,8,8,27,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,College Stats,WrigDa00
1,11,TEN,Peter Skoronski,OL,22,2024,0,0,2,5,5,25,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats,SkorPe00
1,12,DET,Jahmyr Gibbs,RB,21,2024,0,1,0,10,10,26,0,0,0,0,0,336,1831,20,78,581,2,,,,Alabama,College Stats,GibbJa01
1,13,GNB,Lukas Van Ness,DL,22,2024,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,40,,6.0,Iowa,College Stats,VanNLu00
1,14,PIT,Broderick Jones,OL,22,2024,0,0,2,5,5,28,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,JoneBr09
1,15,NYJ,Will McDonald,DE,24,2024,0,0,1,2,2,26,0,0,0,0,0,0,0,0,0,0,0,23,,11.0,Iowa St.,College Stats,McDoWi00
1,16,WAS,Emmanuel Forbes,CB,22,2024,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,37,2,,Mississippi St.,College Stats,ForbEm00
1,17,NWE,Christian Gonzalez,DB,21,2024,0,0,1,2,2,16,0,0,0,0,0,0,0,0,0,0,0,55,2,1.0,Oregon,College Stats,GonzCh00
1,18,DET,Jack Campbell,LB,23,2024,0,0,2,5,5,28,0,0,0,0,0,0,0,0,0,0,0,97,,3.5,Iowa,College Stats,CampJa04
1,19,TAM,Calijah Kancey,DL,22,2024,0,0,1,6,6,20,0,0,0,0,0,0,0,0,0,0,0,36,,9.0,Pittsburgh,College Stats,KancCa00
1,20,SEA,Jaxon Smith-Njigba,WR,21,2024,0,0,1,6,6,28,1,1,35,0,0,1,8,0,129,1383,8,,,,Ohio St.,College Stats,SmitJa06
1,21,LAC,Quentin Johnston,WR,22,2024,0,0,2,4,4,26,0,0,0,0,0,6,15,0,60,785,8,,,,TCU,College Stats,JohnQu02
1,22,BAL,Zay Flowers,WR,22,2024,0,0,2,9,9,28,0,0,0,0,0,14,103,1,134,1647,9,,,,Boston Col.,College Stats,FlowZa00
1,23,MIN,Jordan Addison,WR,21,2024,0,0,2,7,7,26,0,0,0,0,0,4,22,1,102,1432,14,,,,USC,College Stats,AddiJo00
1,24,NYG,Deonte Banks,DB,22,2024,0,0,2,5,5,26,0,0,0,0,0,0,0,0,0,0,0,86,2,,Maryland,College Stats,BankDe00
1,25,BUF,Dalton Kincaid,TE,23,2024,0,0,2,7,7,26,0,0,0,0,0,0,0,0,107,1029,4,,,,Utah,College Stats,KincDa00
1,26,DAL,Mazi Smith,DL,22,2024,0,0,1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,25,,1.0,Michigan,College Stats,SmitMa06
1,27,JAX,Anton Harrison,OL,21,2024,0,0,2,9,9,28,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,HarrAn00
1,28,CIN,Myles Murphy,DE,21,2024,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,17,,3.0,Clemson,College Stats,MurpMy00
1,29,NOR,Bryan Bresee,DT,21,2024,0,0,1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,23,,10.0,Clemson,College Stats,BresBr00
1,30,PHI,Nolan Smith,OLB,22,2024,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,22,,4.5,Georgia,College Stats,SmitNo02
1,31,KAN,Felix Anudike-Uzomah,DE,21,2024,0,0,0,1,1,28,0,0,0,0,0,0,0,0,0,0,0,20,,2.0,Kansas St.,College Stats,AnudFe00
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,
2,32,PIT,Joey Porter Jr.,CB,23,2024,0,0,2,4,4,28,0,0,0,0,0,0,0,0,0,0,0,64,2,,Penn St.,College Stats,PortJo02
2,33,TEN,Will Levis,QB,24,2024,0,0,2,6,6,17,285,458,3255,18,13,61,232,1,0,0,0,,,,Kentucky,College Stats,LeviWi00
2,34,DET,Sam LaPorta,TE,22,2024,0,1,2,9,9,27,0,0,0,0,0,1,4,0,114,1274,13,,,,Iowa,College Stats,LaPoSa01
2,35,LVR,Michael Mayer,TE,22,2024,0,0,1,3,3,19,0,0,0,0,0,0,0,0,34,341,2,,,,Notre Dame,College Stats,MayeMi00
2,36,LAR,Steve Avila,C,23,2024,0,0,1,7,7,21,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats,AvilSt00
2,37,SEA,Derick Hall,DE,22,2024,0,0,1,1,1,28,0,0,0,0,0,0,0,0,0,0,0,35,,6.0,Auburn,College Stats,HallDe04
2,38,ATL,Matthew Bergeron,OL,23,2024,0,0,2,6,6,28,0,0,0,0,0,0,0,0,0,0,0,,,,Syracuse,College Stats,BergMa00
2,39,CAR,Jonathan Mingo,WR,22,2024,0,0,1,3,3,26,0,0,0,0,0,2,5,0,56,547,0,,,,Mississippi,College Stats,MingJo00
2,40,NOR,Isaiah Foskey,DL,22,2024,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,8,,,Notre Dame,College Stats,FoskIs00
2,41,ARI,BJ Ojulari,DE,21,2023,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,23,,4.0,LSU,College Stats,OjulBJ00
2,42,GNB,Luke Musgrave,TE,23,2024,0,0,1,3,3,15,0,0,0,0,0,0,0,0,39,374,1,,,,Oregon St.,College Stats,MusgLu00
2,43,NYJ,Joe Tippmann,OL,22,2024,0,0,2,4,4,27,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,TippJo00
2,44,IND,Julius Brents,DB,23,2024,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,33,1,,Kansas St.,College Stats,BrenJu00
2,45,DET,Brian Branch,DB,21,2024,0,0,2,4,4,25,0,0,0,0,0,0,0,0,0,0,0,96,7,1.0,Alabama,College Stats,BranBr00
2,46,NWE,Keion White,DL,24,2024,0,0,1,3,3,28,0,0,0,0,0,0,0,0,0,0,0,39,,6.0,Georgia Tech,College Stats,WhitKe03
2,47,WAS,Quan Martin,DB,23,2024,0,0,1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,65,2,1.0,Illinois,College Stats,MartJa04
2,48,TAM,Cody Mauch,T,24,2024,0,0,2,7,7,28,0,0,0,0,0,0,0,0,0,0,0,,,,North Dakota St.,,MaucCo00
2,49,PIT,Keeanu Benton,NT,22,2024,0,0,2,4,4,28,0,0,0,0,0,0,0,0,0,0,0,27,,1.0,Wisconsin,College Stats,BentKe00
2,50,GNB,Jayden Reed,WR,23,2024,0,0,1,9,9,27,0,0,0,0,0,23,224,3,105,1462,12,,,,Michigan St.,College Stats,ReedJa03
2,51,MIA,Cam Smith,DB,22,2024,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,12,,,South Carolina,College Stats,SmitCa02
2,52,SEA,Zach Charbonnet,RB,22,2024,0,0,0,5,5,27,0,0,0,0,0,179,700,5,60,400,1,1,,,UCLA,College Stats,CharZa00
2,53,CHI,Gervon Dexter,DL,21,2024,0,0,1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,32,,6.5,Florida,College Stats,DextGe00
2,54,LAC,Tuli Tuipulotu,DL,21,2024,0,0,2,5,5,28,0,0,0,0,0,0,0,0,0,0,0,57,,11.5,USC,College Stats,TuipTu00
2,55,KAN,Rashee Rice,WR,23,2024,0,0,0,8,8,20,0,0,0,0,0,2,-2,0,103,1226,9,,,,SMU,College Stats,RiceRa01
2,56,CHI,Tyrique Stevenson,CB,23,2024,0,0,2,6,6,26,0,0,0,0,0,0,0,0,0,0,0,99,5,,Miami (FL),College Stats,StevTy01
2,57,NYG,John Michael Schmitz,OL,24,2024,0,0,2,4,4,24,0,0,0,0,0,0,0,0,0,0,0,,,,Minnesota,College Stats,MichJo00
2,58,DAL,Luke Schoonmaker,TE,24,2024,0,0,0,1,1,28,0,0,0,0,0,0,0,0,25,232,3,3,,,Michigan,College Stats,SchoLu00
2,59,BUF,O'Cyrus Torrence,OL,23,2024,0,0,2,8,8,28,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,TorrOC00
2,60,CIN,DJ Turner,DB,22,2024,0,0,2,4,4,28,0,0,0,0,0,0,0,0,0,0,0,64,,1.0,Michigan,College Stats,TurnDJ01
2,61,JAX,Brenton Strange,TE,22,2024,0,0,1,0,0,25,0,0,0,0,0,0,0,0,26,256,3,1,,,Penn St.,College Stats,StraBr00
2,62,HOU,Juice Scruggs,OL,23,2024,0,0,1,2,2,18,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,ScruJu00
2,63,DEN,Marvin Mims,WR,21,2024,0,1,0,5,5,28,0,0,0,0,0,18,66,0,38,539,2,1,,,Oklahoma,College Stats,MimsMa00
3,64,CHI,Zacch Pickens,DL,23,2024,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,10,,0.5,South Carolina,College Stats,PickZa00
3,65,PHI,Tyler Steen,OL,23,2024,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,SteeTy00
3,66,PHI,Sydney Brown,DB,23,2024,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,36,1,,Illinois,College Stats,BrowSy00
3,67,DEN,Drew Sanders,LB,21,2023,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,13,,,Arkansas,College Stats,SandDr00
3,68,DET,Hendon Hooker,QB,25,2024,0,0,0,0,0,3,6,9,62,0,0,5,2,0,0,0,0,,,,Tennessee,College Stats,HookHe00
3,69,HOU,Tank Dell,WR,23,2024,0,0,1,6,6,22,0,0,0,0,0,19,79,0,89,1229,9,,,,Houston,College Stats,DellNa00
3,70,LVR,Byron Young,DL,22,2023,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,,,Alabama,College Stats,YounBy00
3,71,NOR,Kendre Miller,RB,21,2024,0,0,0,2,2,10,0,0,0,0,0,50,208,1,12,118,0,,,,TCU,College Stats,MillKe01
3,72,ARI,Garrett Williams,DB,22,2024,0,0,1,2,2,19,0,0,0,0,0,0,0,0,0,0,0,48,3,,Syracuse,College Stats,WillGa00
3,73,NYG,Jalin Hyatt,WR,21,2024,0,0,0,3,3,27,0,0,0,0,0,0,0,0,28,418,0,,,,Tennessee,College Stats,HyatJa00
3,74,CLE,Cedric Tillman,WR,23,2024,0,0,0,2,2,25,0,0,0,0,0,2,3,0,50,563,3,,,,Tennessee,College Stats,TillCe01
3,75,ATL,Zach Harrison,DE,22,2024,0,0,0,1,1,27,0,0,0,0,0,0,0,0,0,0,0,21,,3.0,Ohio St.,College Stats,HarrZa00
3,76,NWE,Marte Mapu,DB,23,2024,0,0,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,25,1,0.5,Sacramento St.,,MapuMa00
3,77,LAR,Byron Young,LB,25,2024,0,0,2,7,7,28,0,0,0,0,0,0,0,0,0,0,0,64,,14.0,Tennessee,College Stats,YounBy01
3,78,GNB,Tucker Kraft,TE,22,2024,0,0,1,4,4,28,0,0,0,0,0,2,4,0,61,757,8,2,,,South Dakota St.,,KrafTu00
3,79,IND,Josh Downs,WR,22,2024,0,0,1,7,7,27,0,0,0,0,0,1,12,0,121,1365,6,,,,North Carolina,College Stats,DownJo00
3,80,CAR,DJ Johnson,OLB,24,2024,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,Oregon,College Stats,JohnDJ00
3,81,TEN,Tyjae Spears,RB,22,2024,0,0,0,6,6,24,0,0,0,0,0,143,614,3,69,473,1,,,,Tulane,College Stats,SpeaTy00
3,82,TAM,YaYa Diaby,DL,24,2024,0,0,1,5,5,28,0,0,0,0,0,0,0,0,0,0,0,47,,9.5,Louisville,College Stats,DiabYa00
3,83,DEN,Riley Moss,DB,23,2024,0,0,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,55,1,,Iowa,College Stats,MossRi00
3,84,MIA,De'Von Achane,RB,21,2024,0,0,1,7,7,22,0,0,0,0,0,235,1362,11,76,570,8,,,,Texas A&M,College Stats,AchaDe00
3,85,LAC,Daiyan Henley,LB,23,2024,0,0,1,1,1,26,0,0,0,0,0,0,0,0,0,0,0,72,,1.0,Washington St.,College Stats,HenlDa00
3,86,BAL,Trenton Simpson,LB,22,2024,0,0,1,2,2,27,0,0,0,0,0,0,0,0,0,0,0,47,,2.5,Clemson,College Stats,SimpTr00
3,87,SFO,Ji'Ayir Brown,S,23,2024,0,0,1,2,2,26,0,0,0,0,0,0,0,0,0,0,0,57,3,,Penn St.,College Stats,BrowJi01
3,88,JAX,Tank Bigsby,RB,22,2024,0,0,0,1,1,27,0,0,0,0,0,145,651,6,4,42,0,,,,Auburn,College Stats,BigsTa00
3,89,LAR,Kobie Turner,DT,24,2024,0,0,1,3,3,28,0,0,0,0,0,0,0,0,0,0,0,58,,14.0,Wake Forest,College Stats,TurnKo00
3,90,DAL,DeMarvion Overshown,LB,23,2024,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,47,,5.0,Texas,College Stats,OverDe00
3,91,BUF,Dorian Williams,LB,22,2024,0,0,1,2,2,28,0,0,0,0,0,0,0,0,0,0,0,84,,,Tulane,College Stats,WillDo04
3,92,KAN,Wanya Morris,OL,22,2024,0,0,1,2,2,25,0,0,0,0,0,0,0,0,1,1,1,,,,Oklahoma,College Stats,MorrWa01
3,93,PIT,Darnell Washington,TE,22,2024,0,0,1,1,1,28,0,0,0,0,0,0,0,0,24,243,1,,,,Georgia,College Stats,WashDa03
3,94,ARI,Michael Wilson,WR,23,2024,0,0,2,6,6,24,0,0,0,0,0,0,0,0,70,926,6,,,,Stanford,College Stats,WilsMi02
3,95,CIN,Jordan Battle,DB,22,2024,0,0,0,3,3,28,0,0,0,0,0,0,0,0,0,0,0,60,1,2.0,Alabama,College Stats,BattJo00
3,96,DET,Brodric Martin,DT,24,2023,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Western Kentucky,College Stats,MartBr00
3,97,WAS,Ricky Stromberg,OL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,StroRi01
3,98,CLE,Siaki Ika,DL,22,2023,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,IkaxSi00
3,99,SFO,Jake Moody,K,23,2024,0,0,1,3,3,25,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats,MoodJa00
3,100,LVR,Tre Tucker,WR,22,2024,0,0,1,3,3,27,0,0,0,0,0,16,113,1,54,698,3,2,,,Cincinnati,College Stats,TuckTr00
3,101,SFO,Cameron Latu,TE,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,LatuCa01
3,102,MIN,Mekhi Blackmon,CB,24,2023,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,34,1,,USC,College Stats,BlacMe00
4,103,NOR,Nick Saldiveri,OL,23,2024,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,Old Dominion,College Stats,SaldNi00
4,104,LVR,Jakorian Bennett,DB,23,2024,0,0,1,2,2,24,0,0,0,0,0,0,0,0,0,0,0,39,,,Maryland,College Stats,BennJa00
4,105,PHI,Kelee Ringo,DB,21,2024,0,0,0,2,2,28,0,0,0,0,0,0,0,0,0,0,0,23,1,1.0,Georgia,College Stats,RingKe00
4,106,IND,Blake Freeland,OL,22,2024,0,0,1,5,5,20,0,0,0,0,0,0,0,0,0,0,0,,,,BYU,College Stats,FreeBl00
4,107,NWE,Jake Andrews,OL,23,2023,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,Troy,College Stats,AndrJa00
4,108,SEA,Anthony Bradford,OL,22,2024,0,0,2,4,4,25,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats,BradAn00
4,109,HOU,Dylan Horton,DL,23,2024,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,10,,,TCU,College Stats,HortDy00
4,110,IND,Adetomiwa Adebawore,DL,22,2024,0,0,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,9,,2.5,Northwestern,College Stats,AdebAd00
4,111,CLE,Dawand Jones,OL,22,2024,0,0,2,4,4,21,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,JoneDa07
4,112,NWE,Chad Ryland,K,23,2024,0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,,,,Maryland,College Stats,RylaCh00
4,113,ATL,Clark Phillips,CB,21,2024,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,42,1,,Utah,College Stats,PhilCl00
4,114,CAR,Chandler Zavala,G,24,2024,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats,ZavaCh00
4,115,CHI,Roschon Johnson,RB,22,2024,0,0,0,4,4,25,0,0,0,0,0,129,491,8,45,297,0,,,,Texas,College Stats,JohnRo07
4,116,GNB,Colby Wooden,DE,22,2024,0,0,0,1,1,24,0,0,0,0,0,0,0,0,0,0,0,14,,0.5,Auburn,College Stats,WoodCo01
4,117,NWE,Sidy Sow,OL,25,2024,0,0,1,4,4,24,0,0,0,0,0,0,0,0,0,0,0,,,,Eastern Michigan,College Stats,SowxSi00
4,118,WAS,Braeden Daniels,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Utah,College Stats,DaniBr00
4,119,KAN,Chamarri Conner,DB,23,2024,0,0,0,3,3,28,0,0,0,0,0,0,0,0,0,0,0,70,3,1.0,Virginia Tech,College Stats,ConnCh01
4,120,NYJ,Carter Warren,OL,24,2024,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats,WarrCa00
4,121,JAX,Ventrell Miller,LB,24,2024,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,49,,,Florida,College Stats,MillVe00
4,122,ARI,Jon Gaines,OL,24,2024,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,GainJo00
4,123,SEA,Cameron Young,DT,23,2024,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,0,0,10,,,Mississippi St.,College Stats,YounCa00
4,124,BAL,Tavius Robinson,DE,24,2024,0,0,0,2,2,29,0,0,0,0,0,0,0,0,0,0,0,21,,4.5,Mississippi,College Stats,RobiTa00
4,125,LAC,Derius Davis,WR,22,2024,0,0,0,2,2,26,0,0,0,0,0,21,144,0,20,109,0,,,,TCU,College Stats,DaviDe02
4,126,CLE,Isaiah McGuire,DL,22,2024,0,0,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,15,,1.5,Missouri,College Stats,McGuIs00
